# file...... gridlabd_results/bc_grid/underground_line_losses.csv
# date...... Wed Jan 13 11:50:51 2021
# user...... isla
# host...... (null)
# group..... class=underground_line
# trigger... (none)
# interval.. 1
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real)
2000-01-01 03:00:01 EST,+8422.63,+7987.26,+7578.6
2000-01-01 03:00:02 EST,+8422.63,+7987.26,+7578.6
2000-01-01 03:00:03 EST,+8422.63,+7987.26,+7578.6
2000-01-01 03:00:04 EST,+8422.63,+7987.26,+7578.6
